ID,Title,Location,Career,Sector
46136991,교보라이프플래닛생명 부문별 채용,서울 용산구,,"Python, 검색엔진, SOA, 마케팅기획, 마케팅전략 외 수정일 23/07/13"
46072031,[오픈메이트] 부문별 신입/경력 인재모집,서울 서대문구,,"Python, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발 외 수정일 23/07/04"
46073102,H&iruja 신입/경력 채용,충남 아산시,,"Python, 데이터분석가, 네트워크, 정보통신, H/W 외 수정일 23/07/19"
46180967,㈜켐트로닉스 전자사업본부 개발부문 상시채용,경기 수원시 영통구,,"Python, 기술지원, 앱개발, IT컨설팅, QA/테스터 외 수정일 23/07/20"
46196502,응용 SW 개발자 (신입/주니어),서울 강남구,,"Python, 웹개발, 프론트엔드, S/W, C++ 외 등록일 23/07/21"
46088072,[㈜테크웨이즈] 각 부문별 신입·경력사원 모집,경기 용인시 수지구,,"Python, 기술지원, SE(시스템엔지니어), SI개발, 네트워크 외 수정일 23/07/06"
46178251,[캐시워크] 백엔드개발 채용전환형 인턴,서울 강남구,,"Python, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터 외 등록일 23/07/19"
46096839,주니어 데이터 분석가 / 데이터 사이언티스트,서울 마포구,,"Python, 데이터분석가, 머신러닝, 빅데이터, R 외 수정일 23/07/10"
46189344,[부산근무] 신규 플랫폼 개발 신입 모집,부산 동구,,"Python, 앱개발, 웹개발, 프론트엔드, QA/테스터 외 등록일 23/07/20"
46139326,㈜HL홀딩스 2023년 7월 부문별 국내/해외(미국) 경력사원 채용,서울 송파구,,"Python, 데이터분석가, 백엔드/서버개발, 앱개발, 정보보안 외 수정일 23/07/14"
46182396,[노르마]각 부문별 개발자 채용(병역특례가능),서울 성동구,,"Python, 백엔드/서버개발, 웹개발, 정보보안, 네트워크 외 수정일 23/07/20"
46146876,[Salesforce/업계 1위] Java 개발자 채용 - 신입/경력(2년~5년),서울 마포구,,"Python, 백엔드/서버개발, 웹개발, 유지보수, 프론트엔드 외 등록일 23/07/14"
45602030,[리트빅] 부문별 신입/경력 인재 채용,경기 성남시 분당구,,"Python, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발 외 수정일 23/07/18"
46172233,SFA 2023년 특별채용 (우수 전문학사),충남 아산시,,"Python, C#, C++, C언어, Pytorch 외 수정일 23/07/19"
46192041,백엔드 개발자 모집합니다,서울 강남구,,"Python, 백엔드/서버개발, 웹개발, 프론트엔드, 풀스택 외 등록일 23/07/21"
45385266,각 분야 채용공고,서울 용산구,,"Python, 데이터엔지니어, 유지보수, SE(시스템엔지니어), 빅데이터 외 수정일 23/07/06"
46125932,오토플러스(주) JAVA 담당자 채용,서울 영등포구,,"Python, 백엔드/서버개발, 앱개발, 웹개발, 프론트엔드 외 수정일 23/07/14"
46042346,캐논코리아 안산사업소 각 부문 채용 (일반 / 연구),경기 안산시,,"Python, 기술지원, 데이터분석가, 데이터엔지니어, 보안컨설팅 외 수정일 23/07/03"
46112161,(주)리파인 각 부문별 신입/경력 채용공고,서울 강남구,,"Python, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수 외 수정일 23/07/12"
45799330,JAVA WEB개발/클라우드/머신러닝/챗봇구축,서울 강남구,,"Python, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발 외 수정일 23/06/13"
46142865,AI혁신본부 / 정규직 전환형 인턴사원,서울 종로구,,"Python, 딥러닝, 머신러닝, AI(인공지능), C++ 외 수정일 23/07/14"
46078093,[인턴] DQ(데이터 품질 운영) 인턴,서울 강남구,,"Python, 데이터시각화, 딥러닝, 머신러닝, SQL 외 수정일 23/07/05"
46055369,2023년 에스피파트너스 하반기 채용 공고,대구 동구,,"Python, 데이터분석가, 데이터엔지니어, 웹개발, 데이터마이닝 외 수정일 23/07/03"
46193518,[다우키움그룹사/본사] 다우기술 IT운영 엔지니어 모집,경기 용인시 수지구,,"Python, 기술지원, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅 외 수정일 23/07/21"
45784133,[직영] DYB최선어학원 각 부문 STAFF 모집,서울 강남구,,"Python, 영상처리, Ajax, AWS, HTML 외 수정일 23/07/14"
41757583,2023년 하반기 신입 및 경력 대규모 채용,서울 금천구,,"Python, 웹개발, MySQL, PHP, 사무직 외 수정일 23/06/27"
46188420,"SW 개발(JAVA) 연구원 채용(신입, 경력 무관)",경기 성남시 분당구,,"Python, 백엔드/서버개발, 프론트엔드, DBMS, S/W 외 등록일 23/07/20"
46195138,[여의도/본사] 현대카드 데이터분석/SQL/추출/통계 담당 채용,서울 영등포구,,"Python, 데이터분석가, SQL, 사무직, 문서작성 외 등록일 23/07/21"
46037126,[아이디어키] 2023년 각 부문 신입/경력 채용,서울 강남구,,"Python, 백엔드/서버개발, 웹개발, 검색엔진, 솔루션 외 수정일 23/07/21"
46148036,(주)이노룰스 솔루션응용개발 신입 및 경력 상시채용,서울 송파구,,"Python, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발 외 수정일 23/07/18"
46161116,"경력직 채용공고(영상PD, 장기상품개발, TM기획)",서울전체,,"Python, SAS, 사무직, 서무, 송무비서 외 수정일 23/07/20"
46179883,​[취업연계형국비무료교육] 자바프로그래밍개발자 훈련생모집,서울전체,,"Python, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발 외 수정일 23/07/20"
46097830,㈜넷맨 연구소 신입/경력 공개채용,서울 금천구,,"Python, 기술지원, 백엔드/서버개발, 보안컨설팅, 웹개발 외 수정일 23/07/07"
46027136,[DBA/정보보안/QA/클라우드엔지니어/SAP(FI)/데이터분석],서울 서초구,,"Python, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발 외 수정일 23/07/12"
45874887,[HYBE] ITSM/CS,서울 용산구,,"Python, 기술지원, 인프라, SaaS, 네트워크 외 등록일 23/06/07"
45721504,전 직무 채용 [물류자동화/개발/설계/PM/기획/영업],경기 성남시 분당구,,"Python, 백엔드/서버개발, 앱개발, 웹개발, 딥러닝 외 수정일 23/07/06"
46035333,하반기 각 부문 신입/경력사원 공개채용,경기 화성시,,"Python, 기술지원, 데이터분석가, 데이터엔지니어, 유지보수 외 수정일 23/07/20"
46199826,[뉴로메카] 제품개발그룹 인력 채용,서울 성동구,,"Python, 백엔드/서버개발, 프론트엔드, API, Android 외 등록일 23/07/21"
45839121,[하나텍시스템] 연구소 개발자 대규모 수시채용 진행중,경기 광명시,,"Python, 앱개발, SI개발, 데이터라벨링, 딥러닝 외 등록일 23/06/01"
45834462,헥토이노베이션 직군별 인재 모집,서울 강남구,,"Python, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발 외 수정일 23/07/04"
46195020,[삼성SDI/울산/정규직] 보건관리자 채용,울산 울주군,,"아웃소싱, 파견대행, 간호사, 임상병리사, 책임간호사 외 등록일 23/07/21"
46169327,CREVERSE 신입/경력사원 수시채용,서울 강남구,,"어학원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 정보보안 외 수정일 23/07/19"
46042382,캐논코리아 각 부문 채용 (본사/지사),서울 강남구,,"기타제조업, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발 외 수정일 23/07/05"
46136576,2023년 각 부문 신입 및 경력 채용,경북 구미시,,"제조업 회사본사, 서무, 총무, 문서작성, 법정의무교육 외 수정일 23/07/13"
46085521,2023년도 하반기 공개채용(경력/신입),경기 성남시 분당구,,"기타제조업, 제조업 회사본사, 반도체, 기술지원, 유지보수 외 수정일 23/07/10"
46125206,2023년 신입 및 경력 공개채용,서울 서대문구,,"건설회사, 건설현장, 건축, 감사, 4대보험 외 수정일 23/07/12"
46065100,하나제약(주) 각 부문 채용,서울 강남구,,"의약·제약, 사무직, 내방객응대, 문서작성, 비품관리 외 수정일 23/07/20"
46171051,신일제약㈜ 2023년 하반기 수시채용,서울 동대문구,,"의약·제약, 실적관리, 평가/보상, 약사, CRA(임상연구원) 외 수정일 23/07/18"
46184614,(주)시아스 신입 및 경력사원 모집,서울 송파구,,"식품가공, 전산회계, 회계사, 관리회계, 원가회계 외 수정일 23/07/21"
46043729,2023년 7월 국내 및 해외 전부문 수시 채용,충남 천안시 동남구,,"방화벽, DLP, ERP, H/W, S/W 외 수정일 23/07/19"
46127917,[고려아연 계열 / 영풍정밀] 부문별 신입/경력사원 채용,경기 안산시,,"기타제조업, 유지보수, ASP, C#, Java 외 수정일 23/07/12"
46194560,"KPX케미칼(주) 2023년 수시 채용(물류관리, 생산직 Operator)",울산 남구,,"화학, 기계조작원, 단순생산직, 생산관리, 외관검사원 외 수정일 23/07/21"
46172130,천안 불당동 현장 안전감시단 모집,충남 천안시 서북구,,"전기설비, 통신설비, 환경, 안전관리, 시설 외 등록일 23/07/18"
46116095,파마리서치 하반기 추가채용,경기 성남시 분당구,,"의약·제약, 의료·보건, 바이오, 유지보수, 정보보안 외 수정일 23/07/13"
46128853,㈜세라젬 각 부문 대규모 채용,서울 강남구,,"기타제조업, 정보보안, ISMS, S/W, SAP 외 수정일 23/07/21"
46180691,㈜금양 생산직(본사-사상구) 모집 공고,부산 사상구,,"화학, 단순생산직, 석유화학, 생산, 생산 외 등록일 23/07/19"
46090107,[외국계 화학] 각 부문 신입/경력 채용,서울 송파구,,"석유화학, 화학, 화공, 에너지, 백엔드/서버개발 외 수정일 23/07/07"
